vtkOriginalIndices,Displacement:0,Displacement:1,Points:0,Points:1,Points:2,__vtkIsSelected__,arc_length,vtkValidPointMask
89,3.88184e-07,-3.93626e-09,1,0.89,0,0,0.89,1
90,3.92463e-07,-3.9555e-09,1,0.9,0,0,0.9,1
91,3.9674e-07,-3.97413e-09,1,0.91,0,0,0.91,1
92,4.01014e-07,-3.99215e-09,1,0.92,0,0,0.92,1
93,4.05287e-07,-4.00956e-09,1,0.93,0,0,0.93,1
94,4.09558e-07,-4.02636e-09,1,0.94,0,0,0.94,1
95,4.13826e-07,-4.04254e-09,1,0.95,0,0,0.95,1
96,4.18093e-07,-4.0581e-09,1,0.96,0,0,0.96,1
97,4.22357e-07,-4.07305e-09,1,0.97,0,0,0.97,1
98,4.2662e-07,-4.08738e-09,1,0.98,0,0,0.98,1
99,4.3088e-07,-4.10108e-09,1,0.99,0,0,0.99,1
100,4.35138e-07,-4.11416e-09,1,1,0,0,1,1
101,4.39395e-07,-4.12661e-09,1,1.01,0,0,1.01,1
102,4.43649e-07,-4.13843e-09,1,1.02,0,0,1.02,1
103,4.47901e-07,-4.14962e-09,1,1.03,0,0,1.03,1
104,4.52151e-07,-4.16018e-09,1,1.04,0,0,1.04,1
105,4.56399e-07,-4.17011e-09,1,1.05,0,0,1.05,1
106,4.60644e-07,-4.17939e-09,1,1.06,0,0,1.06,1
107,4.64888e-07,-4.18804e-09,1,1.07,0,0,1.07,1
108,4.69129e-07,-4.19605e-09,1,1.08,0,0,1.08,1
109,4.73369e-07,-4.20341e-09,1,1.09,0,0,1.09,1
110,4.77606e-07,-4.21013e-09,1,1.1,0,0,1.1,1
111,4.81841e-07,-4.21621e-09,1,1.11,0,0,1.11,1
112,4.86074e-07,-4.22163e-09,1,1.12,0,0,1.12,1
113,4.90305e-07,-4.2264e-09,1,1.13,0,0,1.13,1
114,4.94533e-07,-4.23051e-09,1,1.14,0,0,1.14,1
115,4.9876e-07,-4.23397e-09,1,1.15,0,0,1.15,1
116,5.02984e-07,-4.23678e-09,1,1.16,0,0,1.16,1
117,5.07206e-07,-4.23892e-09,1,1.17,0,0,1.17,1
118,5.11426e-07,-4.2404e-09,1,1.18,0,0,1.18,1
119,5.15643e-07,-4.24121e-09,1,1.19,0,0,1.19,1
120,5.19859e-07,-4.24136e-09,1,1.2,0,0,1.2,1
121,5.24072e-07,-4.24084e-09,1,1.21,0,0,1.21,1
122,5.28283e-07,-4.23965e-09,1,1.22,0,0,1.22,1
123,5.32492e-07,-4.23778e-09,1,1.23,0,0,1.23,1
124,5.36698e-07,-4.23524e-09,1,1.24,0,0,1.24,1
125,5.40903e-07,-4.23202e-09,1,1.25,0,0,1.25,1
126,5.45105e-07,-4.22812e-09,1,1.26,0,0,1.26,1
127,5.49304e-07,-4.22353e-09,1,1.27,0,0,1.27,1
128,5.53502e-07,-4.21827e-09,1,1.28,0,0,1.28,1
129,5.57697e-07,-4.21231e-09,1,1.29,0,0,1.29,1
